Symbol	Description
KRMW.SI	Wilmar 5xLongSG261217
KSB.SI	SS SPDR JPMSaudiAgBd USD
KSPW.SI	Popmart 5xShortSG280202
KTZW.SI	OCBC Bk MB ePW260730
KUH.SI	TSH
KUO.SI	Intl Cement
KUX.SI	OIO
KV4.SI	XT SingGovBond SG$
KXNW.SI	SATS MB eCW260630
KYB.SI	FoodInnovators
KZAW.SI	DBS MB eCW260929
KZDW.SI	KeppelMBeCW261015
L02.SI	Metis Energy
L19.SI	Lum Chang
L23.SI	Enviro-Hub
LCC.SI	Lum Chang Creat
LCS.SI	CSOP APAC SELECT S$
LCU.SI	CSOP APAC SELECT US$
LEDW.SI	KeppelMBeCW260630
LG9.SI	XT MSCHINA US$
LGH.SI	Leong Guan Hldgs
LGTW.SI	NetEase 5xShortUB270730
LIFW.SI	CMOB 5xShortSG270427
LIQW.SI	PingAn 5xShortUB270630
LIW.SI	Eagle HTrust USD
LJ3.SI	OUE
LKVW.SI	Nasdaq 3xShortSG280309
LKYW.SI	PopMart MB eCW261005
LLXW.SI	Ganfeng 5xLongUB270831
LMS.SI	LMS Compliance
LMWW.SI	PingAn 5xShortSG280202
LNQW.SI	BYD 5xShortUB260831
LNRW.SI	HSI 23800MBePW260629
LOAW.SI	HSI 5xShortUB270226
LOTW.SI	SingtelMBeCW260730
LQCW.SI	NKY 50000MBePW260911
LQEW.SI	Xiaomi 3xShortSG271125
LQSW.SI	DBS 5xLongSG280330
LRHW.SI	JD 5xShortUB260831
LS9.SI	Leader Env
LSS.SI	P-Nova Long MSSG2X S$
LSU.SI	P-Nova Long MSSG2X US$
LTYW.SI	Sunny 5xLongSG261027
LUY.SI	Raffles Infrastructure
LVR.SI	17LIVE GROUP
LYY.SI	SinoCloud Grp
LZJW.SI	HSI 7xShortSG270729
M01.SI	Metro
M03.SI	Miyoshi
M05.SI	MTQ
M11.SI	MFG Integration
M14.SI	InnoTek
M15.SI	Nanyang NewDev
M1GU.SI	Alpha Integrated REIT
M44U.SI	Mapletree Log Tr
MACW.SI	APPLE 3xLongSG261006
MBH.SI	Amova SGD IGBond ETF
MCN.SI	PHIL-CU MS CHINA A50 S$
MCS.SI	PHIL-CU MS CHINA A50 US$
ME8U.SI	Mapletree Ind Tr
MENU.SI	EliteUKREIT SGD
MF6.SI	Mun Siong Engg
MFVW.SI	Nasdaq 7xLongSG280330
MIJ.SI	Alliance HC
MJQW.SI	CMOB 5xShortUB270630
MKKW.SI	CNOOC 5xLongSG280330
MKQW.SI	Bilibili MB eCW260804
MMS.SI	PHILLIP MM S$
MMT.SI	PHILLIP MM US$D
MMWW.SI	Geely 5xShortSG260908
MNHW.SI	Geely MB eCW260703
MOFB.SI	NC22300W 720801
MPEW.SI	SATS MB eCW260930
MPOW.SI	OCBC 5xShortSG261217
MR7.SI	Nordic
MUSW.SI	NetEase 5xLongSG271116
MV4.SI	Mewah Intl
MXNU.SI	EliteUKREIT GBP
MZH.SI	Nanofilm
MZNW.SI	Xiaomi 5xLongUB271126
N01.SI	NeraTel
N02.SI	NSL
N08.SI	New Toyo
N0Z.SI	Combine Will
N2H.SI	Hyflux 6% CPS#
N2IU.SI	Mapletree PanAsia Com Tr
N32.SI	Nippecraft
N33.SI	Nomura Yen1k
N6M.SI	IS ASIA BND US$
NBDW.SI	SembInd MBeCW260730
NC2.SI	Sri Trang Agro
NDJW.SI	HSI 22800MBePW260429
NEX.SI	Reclaims Global
NFUW.SI	SGX MB eCW260929
NHD.SI	Jubilee
NHRW.SI	Xiaomi 5xLongSG271216
NILW.SI	HSTECH 5xLongSG280413
NIO.SI	NIO Inc. USD OV
NKZW.SI	TencentMBeCW260804
NMDW.SI	Kuaisho 5xShortUB270831
NNTW.SI	Alibaba MB eCW261005
NPW.SI	MSC
NR7.SI	Raffles Edu
NS8U.SI	HPH Trust USD
NSLW.SI	PingAn MB eCW260902
NTDU.SI	NTT DC REIT USD
NUMW.SI	Ganfeng 5xLongSG280316
NVDW.SI	NVDA 3xShortSG261006
NVIW.SI	NVDA 3xLongSG261006
NVTW.SI	NVDA 3xLongSG261204US$
NVUW.SI	NVDA 3xShortSG261204US$
NWVW.SI	Wilmar MB eCW261130
NXNR.SI	MDR Limited R
NXR.SI	iWOW Tech
NZCW.SI	Tencent 5xShortUB260529
NZZW.SI	HSI 28400MBeCW260528
O08.SI	Ossia Intl
O10.SI	Far East Orchard
O39.SI	OCBC Bank
O5RU.SI	AIMS APAC Reit
O6Z.SI	Lonza
O87.SI	GLD US$
O9A.SI	XT MS SING US$
O9E.SI	Parkson Retail
O9P.SI	IS ASIA HYG US$
OAEW.SI	OCBC Bk MB eCW260630
OAJ.SI	FortressMinerals
OASW.SI	Meituan MB eCW260505
ODAW.SI	NASDAQ 23000MBePW260619
ODBU.SI	UtdHampshReitUSD
ODJW.SI	Bilibili 5xLongSG270216
ODUW.SI	HSTECH 7xLongUB280229
OGIW.SI	PetroCH 5xLongSG270427
OJOW.SI	CNOOC 5xShortSG280202
OL9S.SI	NZ10100F 300901
OMK.SI	Vividthree
ONRW.SI	HSTECH 7xLongUB270226
ONWW.SI	NetEase 5xShortSG271116
OONW.SI	Tencent 5xShortUB270831
OTS.SI	OTS Holdings
OTX.SI	Medinex
OU8.SI	Centurion
